track_name,artist_name,artist_genres,track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
Club Can't Handle Me (feat. David Guetta),Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",0.833333333333333,0.6875,0.558425584255843,0.862738887129131,0.0,0.825500456051078,1,0.0184281842818428,0.0289237966431255,0.0,0.0448851774530271,0.464915091316886,0.450463411076784,0.266016205292902,0.75,2010
Solar Power,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.0,0.625,0.70479704797048,0.441452856087002,0.363636363636364,0.561758916998704,1,0.140018066847335,0.271974037285359,0.0001065989847715,0.312108559498956,0.91776140126028,0.185311393680638,0.18468138253102,0.75,2021
I'm a Thug,Trick Daddy,"['crunk', 'dirty south rap', 'miami hip hop', 'southern hip hop']",0.635416666666667,0.328125,0.948339483394834,0.537535635096611,1.0,0.72708943401661,1,0.179765130984643,0.0281057899434461,0.0,0.0845511482254697,0.5856029050518,0.530085257030722,0.304493109453605,0.75,2001
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,['pop'],0.65625,0.765625,0.763837638376384,0.589272516101784,0.636363636363636,0.719264557630455,1,0.0850948509485095,0.350707182129498,0.0,0.0806889352818372,0.406173235074228,0.265370795157719,0.226656892291819,0.75,2017
I Ain't Worried,OneRepublic,"['piano rock', 'pop']",0.927083333333333,0.734375,0.666666666666667,0.786717347692958,0.0,0.728721616821084,1,0.04516711833785,0.0844460013838629,0.0007563451776649,0.0350730688935282,0.840862971269892,0.530204590355215,0.0990877250142543,0.75,2022
you broke me first,Tate McRae,['pop'],0.5625,0.765625,0.621156211562116,0.339034948791046,0.363636363636364,0.562527003024339,1,0.0496838301716351,0.802655883702352,0.0,0.072651356993737,0.0476343052440457,0.425151487025816,0.139387627658378,0.75,2020
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",0.75,0.71875,0.755227552275523,0.798331749551262,1.0,0.797177283855792,1,0.170731707317073,0.0303553083675644,0.0001289340101522,0.0855949895615866,0.487343800064082,0.424090746363648,0.168163852655178,0.75,2021
First,Cold War Kids,"['indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'stomp and holler']",0.71875,0.375,0.376383763837638,0.675852602681871,0.181818181818182,0.820507896884451,1,0.012646793134598,0.0206414788088718,2.42639593908629e-06,0.524008350730689,0.558902061305137,0.119267028202442,0.199690090257819,0.75,2014
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.885416666666667,0.8125,0.72939729397294,0.49635730123535,0.181818181818182,0.803561998943882,1,0.0632339656729901,0.544983773303349,0.0,0.0495824634655532,0.947666346256542,0.198497726037205,0.116685478459527,0.75,2019
Trumpets,Jason Derulo,"['dance pop', 'pop']",0.65625,0.671875,0.58179581795818,0.67479674796748,0.0,0.779847342902405,1,0.425474254742547,0.567478957544532,0.0,0.0793319415448852,0.641140660044857,0.146667285432053,0.232773634011721,0.75,2014
Let Me Love You,Mario,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']",0.770833333333333,0.5,0.607626076260763,0.555485165241263,0.636363636363636,0.582641255820652,0,0.125925925925926,0.240276277672783,0.0,0.10125260960334,0.553561892555805,0.228689057134144,0.309017636540647,0.75,2005
You Make It Easy,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",0.770833333333333,0.59375,0.46740467404674,0.548094182240524,0.636363636363636,0.758868993327253,1,0.009936766034327,0.159498116079445,0.0,0.0835073068893528,0.50016020506248,0.476391890637638,0.1858566347448,0.5,2018
un x100to,Grupo Frontera,['musica chihuahuense'],0.84375,0.765625,0.500615006150061,0.709639953542392,0.545454545454545,0.817579568911718,0,0.0449864498644986,0.233118719050589,0.0,0.259916492693111,0.559970095055004,0.153137803471274,0.188447619823363,0.75,2023
Numb / Encore,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",0.8125,0.75,0.645756457564576,0.782493928835392,0.181818181818182,0.80903461187653,1,0.259259259259259,0.0616440646303003,0.0,0.585594989561587,0.761828473779771,0.311764939869264,0.210110272014646,0.75,2005
Best I Ever Had,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.822916666666667,0.9375,0.286592865928659,0.91869918699187,0.0909090909090909,0.908789784455859,1,0.636856368563686,0.194263400815819,0.0,0.117954070981211,0.555697960055538,0.678489505297074,0.310873604145576,0.75,2009
When You Were Young,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",0.802083333333333,0.640625,0.375153751537515,0.988385598141696,1.0,0.854207671259181,1,0.161698283649503,0.0001422309149067,0.0491370558375634,0.27035490605428,0.302573961337178,0.466818706161577,0.238607229158667,0.75,2006
Primadonna,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",0.770833333333333,0.5625,0.612546125461255,0.672685038538697,0.363636363636364,0.88502712303778,0,0.0202348690153568,0.0903765499565383,0.0,0.074321503131524,0.415785538823027,0.450556225884724,0.239863934496174,0.75,2012
Under Control (feat. Hurts),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",0.78125,0.78125,0.469864698646986,0.911308203991131,0.727272727272727,0.84979117661178,1,0.111291779584462,0.131890389965266,0.0009279187817258,0.0981210855949896,0.504432340061946,0.438052745329426,0.168505180030797,0.75,2014
