playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DX0yEZaMOXna3,2012,6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),76,THIS IS... ICONA POP,1VBflYyxBhnDc9uVib98rw,Icona Pop,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'swedish electropop', 'swedish synthpop']",69,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4
https://open.spotify.com/playlist/37i9dQZF1DXcagnSNtrGuJ,2011,5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,68,Femme Fatale (Deluxe Version),26dSoYclwsYLMAKD3tpOr4,Britney Spears,"['dance pop', 'pop']",81,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,76,Chocolate Starfish And The Hot Dog Flavored Water,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",76,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,321040,4
https://open.spotify.com/playlist/37i9dQZF1DWVRSukIED0e9,2019,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),78,Hollywood's Bleeding,246dkjvS1zLTtiykXe5h60,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",88,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,4
https://open.spotify.com/playlist/37i9dQZF1DX9Ol4tZWPH6V,2001,6uSa5iCMwPr10Ftpz8w09b,Love,58,Aijuswanaseing,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",58,0.569,0.385,1,-9.919,0,0.0499,0.342,0.0,0.0876,0.339,99.738,304667,4
https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer,2013,7BNDyzwDboNRR2wmd7GSew,Of The Night,59,All This Bad Blood,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,"['metropopolis', 'modern rock', 'pop']",76,0.67,0.829,5,-7.2,0,0.0427,0.0192,0.000225,0.089,0.349,125.01,214206,4
https://open.spotify.com/playlist/37i9dQZF1DX1vSJnMeoy3V,2006,1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),73,How To Save A Life,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",70,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,236267,4
https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9,2005,2b8QQqf8Vwb7bfz22ja8Fk,Over And Over,63,Suit,2gBjLmx6zQnFGQJCAQpRgw,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",74,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799,253933,4
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,2J4P46vCFm1rPkNkp9pZWX,Ice Cream (with Selena Gomez),62,Ice Cream (with Selena Gomez),41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",81,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,175813,4
https://open.spotify.com/playlist/37i9dQZF1DX9Ol4tZWPH6V,2001,0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,68,No Name Face,5PokPZn11xzZXyXSfnvIM3,Lifehouse,"['neo mellow', 'pop rock', 'post-grunge']",64,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067,4
